date,Renewable energy consumption (TJ)
2016,
2015,95.54174
2014,86.81534
2013,87.9949
2012,152.6019
2011,89.65367
2010,87.8279
2009,92.15114
2008,73.71756
2007,69.19154
2006,116.3235
