date,Renewable energy consumption (TJ)
2016,
2015,44129.53
2014,44014.67
2013,48437.09
2012,49149.67
2011,49159.56
2010,50632.27
2009,48050.19
2008,50192.5
2007,51864.34
2006,52130.7
