date,Renewable energy consumption (TJ)
2016,
2015,7681.284
2014,6999.005
2013,7877.251
2012,8506.983
2011,10342.24
2010,11887.45
2009,8471.498
2008,9358.42
2007,9854.355
2006,8259.265
