date,Renewable energy consumption (TJ)
2016,
2015,5857.732
2014,5354.086
2013,5408.722
2012,5158.298
2011,4963.243
2010,4337.858
2009,4115.49
2008,3814.927
2007,2943.415
2006,2262.842
