date,Renewable energy consumption (TJ)
2016,
2015,1239.809
2014,1196.751
2013,1139.982
2012,1049.698
2011,1056.764
2010,779.7763
2009,707.2984
2008,609.5597
2007,592.355
2006,584.6678
