date,Renewable energy consumption (TJ)
2016,
2015,34727.39
2014,35428.1
2013,34619.83
2012,33573.84
2011,30679.68
2010,32484.78
2009,27964.69
2008,34013.37
2007,19239.17
2006,27454.86
