date,Renewable energy consumption (TJ)
2016,
2015,623.2519
2014,519.4042
2013,380.1687
2012,357.073
2011,358.8133
2010,265.5794
2009,377.5366
2008,368.1026
2007,412.7833
2006,387.3781
