date,Renewable energy consumption (TJ)
2016,
2015,24725.24
2014,20463.34
2013,20523.71
2012,22716.74
2011,24515.83
2010,22168.54
2009,19112.91
2008,20301.87
2007,27762.85
2006,26317.4
