date,Renewable energy consumption (TJ)
2016,
2015,45194.73
2014,48407.68
2013,47572.78
2012,35173.64
2011,36141.42
2010,41230.13
2009,36103.69
2008,34620.7
2007,34354.88
2006,31091.1
