date,Renewable energy consumption (TJ)
2016,
2015,50516.66
2014,45203.45
2013,42541.89
2012,40631.27
2011,42163.81
2010,44596.76
2009,40395.97
2008,33595.95
2007,35058.36
2006,27772.28
