date,Renewable energy consumption (TJ)
2016,
2015,13445.59
2014,6381.869
2013,5850.064
2012,5690.971
2011,6574.54
2010,6989.174
2009,6119.523
2008,5823.12
2007,5757.101
2006,5571.174
