date,Renewable energy consumption (TJ)
2016,
2015,485424.7
2014,389287.4
2013,453543.8
2012,431327.8
2011,404272.1
2010,423944.3
2009,371485.0
2008,359505.2
2007,369857.2
2006,398480.8
