date,Renewable energy consumption (TJ)
2016,
2015,11421.65
2014,11006.46
2013,10745.58
2012,10631.14
2011,10436.99
2010,10352.04
2009,10174.59
2008,9983.425
2007,9315.328
2006,9333.067
